word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
dissolution,1,0,1,0,1,1,0,dissolut
dismissal,1,1,1,0,1,1,0,dismiss
collusion,1,1,1,0,1,0,0,collus
loathsome,1,1,0,0,0,0,0,loathsom
cutting,1,1,1,0,1,0,0,cut
malevolent,1,1,1,0,1,0,0,malevol
notoriety,1,1,1,0,0,0,0,notorieti
demolish,1,0,0,0,1,0,0,demolish
theft,1,1,1,0,1,0,0,theft
penalty,1,0,1,0,1,0,0,penalti
enforce,1,0,1,0,0,0,0,enforc
condemnation,1,1,1,0,1,0,0,condemn
nurture,1,1,1,1,0,0,1,nurtur
fatal,1,0,1,0,1,0,0,fatal
eviction,1,1,1,0,1,0,0,evict
bitterness,1,1,0,0,1,0,0,bitter
resentment,1,1,0,0,1,0,0,resent
cracked,1,0,1,0,0,0,0,crack
inadmissible,1,1,0,0,0,0,0,inadmiss
disapprove,1,1,1,0,1,0,0,disapprov
accused,1,0,1,0,0,0,0,accus
vent,1,0,0,0,0,0,0,vent
illegitimate,1,1,1,0,1,1,0,illegitim
displeased,1,1,1,0,1,0,0,displeas
storm,1,0,0,0,0,0,0,storm
prosecute,1,0,1,0,1,0,0,prosecut
paralysis,1,0,1,0,1,0,0,paralysi
assailant,1,0,1,0,1,0,0,assail
hurting,1,0,1,0,1,0,0,hurt
opinionated,1,0,0,0,0,0,0,opinion
livid,1,1,0,0,0,0,0,livid
disobey,1,1,0,0,0,0,0,disobey
ruinous,1,1,1,0,1,0,0,ruinou
combat,1,0,1,0,0,0,0,combat
derogation,1,1,1,0,1,0,0,derog
explode,1,0,1,0,1,1,0,explod
schizophrenia,1,1,1,0,1,0,0,schizophrenia
desist,1,1,0,0,0,0,0,desist
immoral,1,1,1,0,1,0,0,immor
copycat,1,1,0,0,0,0,0,copycat
demon,1,1,1,0,1,0,0,demon
infidelity,1,1,1,0,1,0,0,infidel
tirade,1,1,0,0,0,0,0,tirad
obliging,1,1,1,1,0,1,1,oblig
pretending,1,0,0,0,0,0,0,pretend
outburst,1,0,1,1,1,1,0,outburst
incase,1,1,1,0,1,0,0,incas
victimized,1,1,1,0,1,1,0,victim
bias,1,0,0,0,0,0,0,bia
tension,1,0,0,0,0,0,0,tension
indecency,1,1,0,0,0,0,0,indec
sharpen,1,0,0,0,0,0,0,sharpen
bankruptcy,1,1,1,0,1,0,0,bankruptci
wring,1,0,0,0,0,0,0,wring
ambush,1,0,1,0,0,1,0,ambush
insignificant,1,0,0,0,1,0,0,insignific
penetration,1,0,1,0,0,0,0,penetr
detonation,1,0,0,0,0,0,0,deton
lynch,1,1,1,0,1,0,0,lynch
inhibit,1,1,0,0,1,0,0,inhibit
offense,1,1,1,0,1,0,0,offens
trespass,1,0,0,0,0,0,0,trespass
illegality,1,1,1,0,0,0,0,illeg
